date,value
2025-12-01,2.06
2025-11-01,1.805
2025-10-01,1.655
2025-09-01,1.645
2025-08-01,1.6
2025-07-01,1.545
2025-06-01,1.42
2025-05-01,1.5
2025-04-01,1.31
2025-03-01,1.485
2025-02-01,1.37
2025-01-01,1.245
2024-12-01,1.09
2024-11-01,1.05
2024-10-01,0.935
2024-09-01,0.855
2024-08-01,0.89
2024-07-01,1.045
2024-06-01,1.05
2024-05-01,1.07
2024-04-01,0.87
2024-03-01,0.725
2024-02-01,0.71
2024-01-01,0.73
2023-12-01,0.62
2023-11-01,0.66
2023-10-01,0.95
2023-09-01,0.765
2023-08-01,0.64
2023-07-01,0.595
2023-06-01,0.395
2023-05-01,0.43
2023-04-01,0.385
2023-03-01,0.32
2023-02-01,0.5
2023-01-01,0.49
2022-12-01,0.41
2022-11-01,0.25
2022-10-01,0.245
2022-09-01,0.24
2022-08-01,0.22
2022-07-01,0.18
2022-06-01,0.225
2022-05-01,0.235
2022-04-01,0.215
2022-03-01,0.21
2022-02-01,0.18
2022-01-01,0.17
2021-12-01,0.07
2021-11-01,0.05
